source_type,participant,measure,error
human,PT_01,orientation error (degree),16.701889038085938
human,PT_01,orientation error (degree),19.49197578430176
human,PT_01,orientation error (degree),17.591524124145508
human,PT_01,orientation error (degree),17.080684661865234
human,PT_01,orientation error (degree),20.34268951416016
human,PT_01,orientation error (degree),18.87795639038086
human,PT_01,orientation error (degree),16.669368743896484
human,PT_01,orientation error (degree),17.706483840942383
human,PT_01,orientation error (degree),15.42180633544922
human,PT_01,orientation error (degree),16.905851364135742
human,PT_01,orientation error (degree),15.53311824798584
human,PT_01,orientation error (degree),16.100534439086914
human,PT_01,orientation error (degree),15.801444053649902
human,PT_01,orientation error (degree),17.068588256835938
human,PT_01,orientation error (degree),16.01007080078125
human,PT_01,orientation error (degree),14.878816604614258
human,PT_01,orientation error (degree),13.670632362365724
human,PT_01,orientation error (degree),11.636011123657228
human,PT_01,orientation error (degree),11.077466011047363
human,PT_01,orientation error (degree),10.62763786315918
human,PT_01,orientation error (degree),10.81838035583496
human,PT_01,orientation error (degree),8.460649490356445
human,PT_01,orientation error (degree),11.163166999816896
human,PT_01,orientation error (degree),9.051302909851074
human,PT_01,orientation error (degree),9.072854042053224
human,PT_01,orientation error (degree),10.62067413330078
human,PT_01,orientation error (degree),9.584680557250977
human,PT_01,orientation error (degree),7.84617805480957
human,PT_01,orientation error (degree),5.799815654754639
human,PT_01,orientation error (degree),8.372406005859375
human,PT_01,orientation error (degree),8.834510803222656
human,PT_01,orientation error (degree),11.92515754699707
human,PT_01,orientation error (degree),8.228005409240723
human,PT_01,orientation error (degree),7.572247982025146
human,PT_01,orientation error (degree),6.09068775177002
human,PT_01,orientation error (degree),8.245692253112793
human,PT_01,orientation error (degree),6.500049114227295
human,PT_01,orientation error (degree),9.053472518920898
human,PT_01,orientation error (degree),7.618806838989258
human,PT_01,orientation error (degree),9.799782752990724
human,PT_01,orientation error (degree),6.574739456176758
human,PT_01,orientation error (degree),9.552054405212402
human,PT_01,orientation error (degree),9.879000663757324
human,PT_01,orientation error (degree),10.273260116577148
human,PT_01,orientation error (degree),9.68620777130127
human,PT_01,orientation error (degree),9.148041725158691
human,PT_01,orientation error (degree),10.130887031555176
human,PT_01,orientation error (degree),8.339271545410156
human,PT_01,orientation error (degree),9.071771621704102
human,PT_01,orientation error (degree),10.13096523284912
human,PT_01,orientation error (degree),9.411831855773926
human,PT_01,orientation error (degree),10.52994155883789
human,PT_01,orientation error (degree),9.809929847717283
human,PT_01,orientation error (degree),9.529885292053224
human,PT_01,orientation error (degree),9.953329086303713
human,PT_01,orientation error (degree),9.959096908569336
human,PT_01,orientation error (degree),9.995916366577148
human,PT_01,orientation error (degree),12.336956024169922
human,PT_01,orientation error (degree),10.863919258117676
human,PT_01,orientation error (degree),8.34294319152832
human,PT_01,orientation error (degree),11.21606731414795
human,PT_01,orientation error (degree),7.679050922393799
human,PT_01,orientation error (degree),8.234350204467773
human,PT_01,orientation error (degree),10.974830627441406
human,PT_01,orientation error (degree),38.71495056152344
human,PT_01,orientation error (degree),37.08280563354492
human,PT_01,orientation error (degree),35.87925720214844
human,PT_01,orientation error (degree),37.38270950317383
human,PT_01,orientation error (degree),40.39441680908203
human,PT_01,orientation error (degree),35.49990463256836
human,PT_01,orientation error (degree),26.72931289672852
human,PT_01,orientation error (degree),31.42349624633789
human,PT_01,orientation error (degree),33.99907302856445
human,PT_01,orientation error (degree),32.46403503417969
human,PT_01,orientation error (degree),32.420310974121094
human,PT_01,orientation error (degree),31.753990173339844
human,PT_01,orientation error (degree),33.8828239440918
human,PT_01,orientation error (degree),36.336517333984375
human,PT_01,orientation error (degree),31.973398208618164
human,PT_01,orientation error (degree),36.11800384521485
human,PT_01,orientation error (degree),34.32380676269531
human,PT_01,orientation error (degree),37.413455963134766
human,PT_01,orientation error (degree),35.17407989501953
human,PT_01,orientation error (degree),39.42006301879883
human,PT_01,orientation error (degree),35.33608627319336
human,PT_01,orientation error (degree),32.677818298339844
human,PT_01,orientation error (degree),34.79117584228516
human,PT_01,orientation error (degree),32.02789306640625
human,PT_01,orientation error (degree),38.30132675170898
human,PT_01,orientation error (degree),30.90888214111328
human,PT_01,orientation error (degree),31.05188751220703
human,PT_01,orientation error (degree),32.191009521484375
human,PT_01,orientation error (degree),31.88136482238769
human,PT_01,orientation error (degree),33.20771408081055
human,PT_01,orientation error (degree),31.053300857543945
human,PT_01,orientation error (degree),33.02056884765625
human,PT_01,orientation error (degree),29.554208755493164
human,PT_01,orientation error (degree),30.208683013916016
human,PT_01,orientation error (degree),30.25986289978028
human,PT_01,orientation error (degree),31.481342315673828
human,PT_01,orientation error (degree),32.15809631347656
human,PT_01,orientation error (degree),33.11605453491211
human,PT_01,orientation error (degree),31.524253845214844
human,PT_01,orientation error (degree),38.144290924072266
human,PT_01,orientation error (degree),33.001708984375
human,PT_01,orientation error (degree),31.33642578125
human,PT_01,orientation error (degree),35.14303970336914
human,PT_01,orientation error (degree),34.3191032409668
human,PT_01,orientation error (degree),36.32888412475586
human,PT_01,orientation error (degree),36.8808708190918
human,PT_01,orientation error (degree),33.67192459106445
human,PT_01,orientation error (degree),28.010576248168945
human,PT_01,orientation error (degree),35.75473403930664
human,PT_01,orientation error (degree),34.30384826660156
human,PT_01,orientation error (degree),33.160057067871094
human,PT_01,orientation error (degree),27.416278839111328
human,PT_01,orientation error (degree),27.758569717407227
human,PT_01,orientation error (degree),26.1965446472168
human,PT_01,orientation error (degree),31.59430503845215
human,PT_01,orientation error (degree),29.43953323364257
human,PT_01,orientation error (degree),31.186843872070312
human,PT_01,orientation error (degree),34.375396728515625
human,PT_01,orientation error (degree),33.8368034362793
human,PT_01,orientation error (degree),40.55876922607422
human,PT_01,orientation error (degree),34.731231689453125
human,PT_01,orientation error (degree),35.19169616699219
human,PT_01,orientation error (degree),37.01544570922852
human,PT_01,orientation error (degree),32.877445220947266
human,PT_01,orientation error (degree),30.188720703125
human,PT_01,orientation error (degree),34.50117874145508
human,PT_01,orientation error (degree),35.78755187988281
human,PT_01,orientation error (degree),28.927133560180664
human,PT_01,orientation error (degree),34.296348571777344
human,PT_01,orientation error (degree),31.785463333129883
human,PT_01,orientation error (degree),32.88990020751953
human,PT_01,orientation error (degree),33.06538772583008
human,PT_01,orientation error (degree),32.97785186767578
human,PT_01,orientation error (degree),32.3916130065918
human,PT_01,orientation error (degree),30.04879570007324
human,PT_01,orientation error (degree),35.146976470947266
human,PT_01,orientation error (degree),30.4075984954834
human,PT_01,orientation error (degree),32.69935607910156
human,PT_01,orientation error (degree),32.897056579589844
